0.1 {'micro': 0.6555555555555556, 'macro': 0.6338702533164283}
0.2 {'micro': 0.6173752310536045, 'macro': 0.5895173693001601}
0.3 {'micro': 0.5578817733990148, 'macro': 0.5443872490376161}
0.4 {'micro': 0.566943674976916, 'macro': 0.5455339925523923}
0.5 {'micro': 0.5413589364844904, 'macro': 0.4799823375804504}
0.6 {'micro': 0.46921182266009853, 'macro': 0.43942075994440033}
0.7 {'micro': 0.41108179419525065, 'macro': 0.3000241334561098}
0.8 {'micro': 0.30886426592797783, 'macro': 0.09593284415573733}
0.9 {'micro': 0.30077964710709887, 'macro': 0.06606579540333483}
